pair	wieghted	unwieghted	uw.med	uw.sd	uw.stderr
BT.GV	0.32039973204179445	0.08967575186381506	0.09019607843137255	0.0368737296803126	2.216859409956424e-5
BT.SB	0.31997185832290187	0.071566277196283	0.06896551724137931	0.03469644390085642	2.087312384703275e-5
BT.ST	0.35176526398384855	0.06805785547870005	0.061079803672059625	0.039762683701999056	2.396884649383375e-5
GV.SB	0.39887744644363454	0.056815030077550906	0.05	0.05841333536538555	3.537434995998921e-5
GV.ST	0.39214456028344197	0.06389550020961025	0.05	0.06871540614040322	4.174130539251627e-5
SB.ST	0.3705872390163019	0.08192572005347167	0.0909090909090909	0.052435243161217705	3.325676289906248e-5
