pair	wieghted	unwieghted	uw.med	uw.sd	uw.stderr
BT.GV	0.4721878253926075	0.044002335975394456	0.04081632653061224	0.04531387794019695	4.3856530378563654e-5
BT.SB	0.48166126060291353	0.0430750457182182	0.037383177570093455	0.05264373029649273	5.114670917478305e-5
BT.ST	0.47815743440160113	0.04881644841407553	0.04901960784313726	0.04068743154450435	3.942760128987516e-5
GV.SB	0.6008905731250231	0.07390732329121533	0.07692307692307693	0.05145950009762724	4.994549922195895e-5
GV.ST	0.6120872345678562	0.06518422836954847	0.06896551724137931	0.042989432166243575	4.167491978130051e-5
SB.ST	0.4535770199813587	0.06543021829673584	0.06896551724137931	0.04391864309795694	4.2799881303635716e-5
