spp2,cave,length_m,angsd.pi,angsd.Ne,perSitePi,Ne
N. barri,ST,369.7224,0.001170617959001181,104519.46062510546,1.6060364778167207e-4,14339.611409077865
N. barri,GV,489.8136,0.00135056729557682,120586.3656765018,2.0341421091559054e-4,18161.983117463442
P. hatchi,ST,369.7224,0.0015121707913002141,135015.2492232334,1.1660876357346194e-4,10411.49674763053
N. barri,SB,1219.2,0.0018144442662987586,162003.95234810346,2.134847361684202e-4,19061.13715789466
P. hatchi,GV,489.8136,0.0018740003249627098,167321.45758595623,2.7234288617522355e-4,24316.329122787818
P. hatchi,SB,1219.2,0.0022037346618990214,196762.0233838412,3.2619514287717823e-4,29124.566328319488
P. hatchi,BT,3141.5736,0.0024324221279743022,217180.5471405627,3.4711596796497456e-4,30992.497139729872
N. barri,BT,3141.5736,0.0026117109507004504,233188.47774111165,3.2549376666493867e-4,29061.943452226667
