pair	wieghted	unwieghted	uw.med	uw.sd	uw.stderr
BT.GV	0.3016258554105139	0.17162410026759842	0.16238159675236807	0.10173194044971011	3.927257718071618e-5
BT.SB	0.31591402404095176	0.16820256763213418	0.13675213675213677	0.1025243025976293	4.202568929181941e-5
BT.ST	0.3375668225514192	0.17427290107027624	0.1407456516652367	0.10612956279259193	4.4005954454615626e-5
GV.SB	0.35539939330257725	0.19757609197378312	0.1881918819188192	0.12364546528563256	4.8106607783087764e-5
GV.ST	0.36164199762301574	0.1941889515433061	0.18557536466774716	0.10886040500192941	4.335497136289927e-5
SB.ST	0.335642410318652	0.17643977206568148	0.14040728831725618	0.10730086375953438	4.4656198784145314e-5
