pair	wieghted	unwieghted	uw.med	uw.sd	uw.stderr
BT.GV	0.4185169155400686	0.13310560627604057	0.07339449541284404	0.12678797831125577	6.9346285767688e-5
BT.SB	0.4340992606802196	0.14172247455055026	0.08290155440414507	0.1319772806343636	7.2346919677108545e-05
BT.ST	0.4198183515161708	0.14175468884488293	0.0813953488372093	0.1240978916849602	6.855779877609183e-5
GV.SB	0.5195951889451894	0.18469906407692843	0.11328125	0.14894527735768207	8.206398701479119e-5
GV.ST	0.4877456954618345	0.15450141478439924	0.08278145695364238	0.14381017208475325	7.978002463071187e-5
SB.ST	0.3284152319987988	0.11769474559272645	0.0784313725490196	0.09400406674342744	4.9157165658864546e-5
